lane_id	sample_id	fq_1	fq_2
L8	UDP11610	UDN738936-HLLVJCCXY_s8_1_GSLv3-7_26_SL332870.fastq.gz	UDN738936-HLLVJCCXY_s8_2_GSLv3-7_26_SL332870.fastq.gz
L2	UDP11610	UDN738936-HLT37CCXY_s2_1_GSLv3-7_26_SL332870.fastq.gz	UDN738936-HLT37CCXY_s2_2_GSLv3-7_26_SL332870.fastq.gz
L6	UDP11610	UDN738936-HMCL3CCXY_s6_1_GSLv3-7_26_SL332870.fastq.gz	UDN738936-HMCL3CCXY_s6_2_GSLv3-7_26_SL332870.fastq.gz
